Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,2115.1,2227.6,2557.8,2457.9,2164.8,2159.8,2124.4,1925.6,1788.8,1881.7,2382.0,2679.3,2686.2,2640.2,3499.8,3746.7,3334.8,3218.4,3409.7,3187.2,3229.1,3305.2,2665.4,2885.9,3153.1,3388.0,3336.5,3840.1,4196.4,3612.7,4410.0
Belgium,3746.0,3944.1,4449.0,4241.9,3684.1,3664.3,3598.4,3190.8,3036.0,3147.1,3875.7,4262.7,4228.2,4307.9,5164.0,6295.8,5620.7,5244.7,5499.4,5169.0,5263.2,5191.5,4202.1,4255.5,4432.8,4840.1,4761.2,5317.5,6239.4,6890.2,7629.4
Denmark,2682.0,2718.8,3118.0,3086.2,2804.3,2846.1,2784.9,2392.5,2525.2,2694.1,3199.2,3578.8,3468.5,3896.7,4175.7,4788.0,4337.4,4503.5,4518.6,4422.5,4216.6,4056.9,3364.0,3592.7,3764.0,4558.7,4487.8,4887.2,5273.7,5475.0,8144.9
Finland,1615.4,1756.3,1909.0,2021.8,1947.0,1959.7,1653.9,1558.1,1479.3,1611.4,2475.1,2892.9,2999.4,3128.5,3296.6,3958.1,3940.6,3717.2,4099.5,3943.2,4161.1,3985.5,3399.1,3415.0,3431.1,3754.6,3635.2,3868.7,3831.6,4446.4,7348.0
France,35775.3,37288.6,40124.0,38977.7,34697.9,33633.6,32672.7,28403.1,27951.6,30578.4,38569.1,44524.6,44442.1,45792.1,50684.5,55366.0,56441.5,52044.1,54120.9,50216.5,52001.5,53134.8,45647.5,47370.6,49195.7,51409.8,50118.9,52747.1,56647.0,53638.7,61301.3
Germany,35030.5,34197.7,38742.7,36701.2,31267.7,31200.8,30690.2,26497.6,25815.4,27611.4,32997.4,35776.6,30325.0,35883.7,40110.9,45099.0,44528.9,43025.9,45163.2,43798.2,44242.6,44662.8,38170.0,39909.7,42281.1,46497.7,49079.4,53318.7,56513.1,56153.1,66826.6
Greece,3364.4,3587.2,4179.9,4613.2,4573.5,4824.3,5012.3,4564.5,4428.1,4734.2,5035.6,6267.5,7028.4,7607.2,8533.1,10574.1,10641.3,8163.6,7128.6,5915.0,5655.2,5531.3,4818.1,4963.5,5088.2,5757.1,5383.1,5773.3,8299.9,8745.4,7729.8
Ireland,597.7,633.7,702.0,751.0,765.3,742.4,741.5,694.7,767.8,811.3,965.2,1101.9,1145.0,1190.4,1372.2,1582.9,1415.7,1274.2,1300.3,1157.5,1195.8,1192.7,997.0,1001.6,1025.1,1107.1,1112.7,1144.4,1267.7,1164.3,1269.2
Italy,18242.0,18062.5,17185.9,20793.1,20156.1,20825.1,21016.5,19878.7,19519.4,21610.1,26824.2,30261.1,29737.6,29633.0,31982.4,36840.0,34054.5,32020.8,33828.8,29781.0,29957.4,27701.0,22180.8,25033.0,26447.9,28420.1,26380.7,32929.1,36232.7,34691.9,35528.9
Luxembourg,97.7,113.8,128.5,127.8,121.1,129.3,127.1,115.7,144.7,138.6,179.5,212.0,220.2,223.3,258.4,213.9,201.4,247.7,232.2,214.6,233.7,252.1,249.5,235.6,323.1,355.3,381.8,425.2,403.3,509.9,662.5
Netherlands,7054.9,7137.4,8011.5,7829.0,6839.1,6836.1,7026.4,5971.8,6200.4,6728.2,8356.3,9377.1,9567.0,10217.8,11480.4,12374.8,12131.8,11220.5,11647.9,10364.7,10226.3,10332.6,8667.8,9115.2,9580.7,11114.9,12000.7,13085.7,14395.7,13632.4,16624.8
Norway,3175.6,3403.3,3508.0,3537.0,3253.0,3324.9,3309.2,2922.3,2966.0,4065.9,4517.5,4887.4,4884.9,5011.7,5875.3,6370.9,6195.6,6498.7,7232.3,7144.0,7391.8,7336.8,5815.2,5997.4,6853.3,7541.1,7542.1,7225.2,8435.1,8697.8,8668.6
Portugal,1655.6,1641.5,2016.5,1964.2,1804.0,1763.9,1817.4,1664.7,1755.7,1965.2,2363.3,2847.2,3142.6,3153.8,3309.4,3714.8,3738.3,3540.2,3651.9,3040.0,3262.3,3002.4,2643.9,3178.3,2719.7,3245.9,3299.4,3268.0,3882.5,3566.6,4223.2
Spain,10041.5,10092.7,11439.9,11294.3,9865.9,10333.4,11113.7,10273.8,10222.1,10270.8,12880.5,15262.5,15997.7,17252.2,20065.7,22227.7,20178.3,19710.8,19695.4,18860.6,17243.0,17178.5,15187.2,14014.4,16043.5,17823.3,17189.3,17431.8,19544.5,20306.6,23699.1
Sweden,4752.7,4818.8,4653.4,4301.7,5085.2,5035.8,5080.8,4764.3,4283.6,4354.6,5305.6,5514.7,5518.5,5577.2,6386.2,6024.8,5063.0,5885.9,6324.7,6243.7,6528.7,6555.5,5386.9,5427.5,5526.6,5732.8,5839.6,6271.3,7582.6,7722.5,8754.9
Switzerland,3611.2,3899.3,4645.4,4239.4,3498.2,3494.3,3146.8,2800.1,2763.7,2882.7,3270.3,3503.8,3484.6,3329.0,3524.7,4098.5,4055.5,4115.4,4973.9,4592.2,5032.9,4612.8,4521.1,4571.3,4628.4,4736.8,5021.9,5731.4,5485.2,5652.3,6293.4
United Kingdom,38113.2,38569.0,38294.3,38566.1,39889.9,41222.1,40760.4,39343.7,39512.6,44245.3,52343.1,60250.8,61653.6,64217.6,73448.0,72915.4,64010.5,63979.1,66569.6,65452.5,63837.7,66995.5,59990.2,53327.4,52075.0,55832.9,56567.6,58332.4,65136.2,64081.6,74942.8
